mm,var_rmse_t_stat,var_rmse_p_value,var_rmse_paired_cohens_d
5,-41.1127765121837,2.9024769355054664e-27,-7.506131699130527
8,-37.31825634235167,4.5756093095403914e-26,-6.813350268488747
10,-43.65143276243501,5.245173405039166e-28,-7.969624797135233
12,-35.41512651436603,2.0229633430291867e-25,-6.4658878896058605
15,-29.64085240436964,3.083380796095688e-23,-5.41165449518483
18,-30.02576179523622,2.1453244236865063e-23,-5.481929013842564
