nu,sampler,wasserstein_distance,r_hat,ess,runtime
1,HMC,2.6926262306062907,1.0592397124952175,2243.8195761591915,4.638557195663452
2,HMC,0.12103513630976544,1.0021325257572187,3049.096570039325,3.464859962463379
3,HMC,0.06391930772341779,1.0009884114724197,3732.5261629782167,3.5137553215026855
5,HMC,0.04143839630259554,1.0014492925609357,3900.5409805742315,3.369199275970459
30,HMC,0.023806360901733666,1.0022654274250093,4466.832312064337,3.0948657989501953
