nu,global_avg_wasserstein_distance,global_avg_mmd_rff,global_avg_swd_zscore,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_mmd_rff_std,global_avg_swd_zscore_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std,ws_dist_glass_delta,mmd_rff_glass_delta
1,8.592208109482113,0.032952923396684736,0.20502079968059253,1.0416150994867577,1314.3556089363738,2.0399585485458376,17.792842658533274,0.02114849647427006,1.7260867901467751,0.09738358345267636,246.13598356968615,0.3037661488449578,0.20502079968059223,6.193588864832699
2,0.23479101371145653,0.017193086646228647,4.208839028855239,1.003785961124526,1731.2577998249762,1.6162830114364624,0.19485724959677161,0.004156734338050022,6.695972533539843,0.0020699719142756473,275.1575074248009,0.1073024998190448,4.208839028855241,1.353568554328729
3,0.07965622428149494,0.016168795708155076,1.8415143269661578,1.0022287267730374,2081.6908662971755,1.5755384922027589,0.03446779918756649,0.0064611350385153235,2.1261461331456397,0.0011148175972922295,221.29866938523082,0.1167681439209875,1.8415143269661571,0.8467104912963493
5,0.04155783555066932,0.013454914475832941,0.5356195080668079,1.001890398026116,2367.0775612038806,1.5540100455284118,0.011949008861550434,0.004818248595058482,1.2111920041971829,0.0011774181710442774,155.96321099579745,0.10957800765206221,0.5356195080668069,0.2428252247957048
30,0.028177145375989865,0.01270741258488568,0.725001580912152,1.0020959150875783,2517.7832882975363,1.5278673768043518,0.009288605957036863,0.0046897262114805735,1.6781840764048452,0.0010792258495001953,135.40366528832277,0.1025898397181302,0.7250015809121512,0.5336977398101118
