dimension,ws_t_stat,ws_p_value,ws_paired_cohens_d
2,-6.383005199432222,4.0198967138666634e-06,-1.427283352666505
5,-14.448166883737358,1.0622243255744978e-11,-3.230708330229803
10,-27.625513971398465,8.384580063655406e-17,-6.177252715341715
15,-27.455528318609336,9.402134865364825e-17,-6.139242767858097
30,-35.86091402994869,6.450215626669093e-19,-8.01874415062412
