dimension,mmd_rff_t_stat,mmd_rff_p_value,mmd_rff_paired_cohens_d
2,-5.515874030307402,2.5453189153083084e-05,-1.2333869287093087
5,-38.36535478357791,1.818725197182755e-19,-8.578754127697692
10,-39.94114774523244,8.540776601631313e-20,-8.93111214577022
15,-52.95285993416881,4.2128490691567874e-22,-11.84061944158265
30,-65.26292908800782,8.106932832854748e-24,-14.593234585153384
