dimension,mmd_rff_t_stat,mmd_rff_p_value,mmd_rff_paired_cohens_d
2,0.342731087385982,0.7355633949960778,0.07663700093974765
5,-6.091638887475213,7.395840019304891e-06,-1.3621318646775769
10,-7.541211010517448,3.98352933886137e-07,-1.6862660452186895
15,-7.930888946681445,1.9060079584953548e-07,-1.7734006806781415
30,-9.632795135123203,9.582088565626066e-09,-2.153958473546475
