mu,global_avg_wasserstein_distance,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
5,0.09542667474694659,1.0282616105779718,695.5780566615588,5.980134825706482,0.060889075619090405,0.006670745046394768,171.31066251318762,0.1073308813684886
6,0.16245058300018023,1.0845890614849014,187.57759799055964,5.974514904022217,0.10591959503777824,0.025386941223470558,74.46470418133356,0.1443544241313389
7,0.31299232145137723,1.183728892928089,84.91759356142722,5.919968276023865,0.18588926905129943,0.05782856171293794,34.655525161058755,0.0741968132820377
8,0.6021086853606673,1.4048694302865357,42.50859047259973,5.920541625022889,0.4760401229605576,0.06631123286281908,4.688650255210629,0.09714150198258653
9,1.9298721924631586,1.5942972943448015,33.772596175045734,6.103594274520874,0.7870054375597582,0.05913811468587777,1.894121360938199,0.0845374663831406
10,2.7105836809878823,1.6552150065248035,32.08293676893916,5.977022848129272,0.45768300830089936,0.017372901125340498,0.3981914020511835,0.1448749071620154
11,3.0250565027813714,1.6677200626918418,31.791867742741324,5.895249752998352,0.4032804675891855,0.01019078472966736,0.2360828355592094,0.06644601150576634
12,3.543105830678731,1.6715703577064354,31.70073200706616,5.889867544174194,0.3200637308760413,0.007322451450744503,0.18016940283090152,0.05579725232520737
13,3.7702630142124383,1.67233079789741,31.68300716661094,5.91154112815857,0.33406688892042985,0.0037266592019140235,0.09776828868712997,0.12638689710270581
14,4.235381913524047,1.6731730937955205,31.658623024471453,6.088037519454956,0.28560604512054083,0.0029577991626440676,0.08125947711428404,0.06579600890819348
15,4.463397598272251,1.6736411760741021,31.652332749159406,6.028321495056153,0.24208404870440525,0.0025843711106625636,0.08172427577925984,0.1282051670455127
16,4.721240969587085,1.6744576854339583,31.626432425660827,5.902671957015992,0.010666888593380872,0.0009078008698254297,0.06013426209999522,0.06483861218288202
17,5.047505133594415,1.6741320514340519,31.63606831057672,5.8828997230529785,0.1691262208775564,0.0018725891983493166,0.06431196828188551,0.05919311550395177
18,5.36685959650163,1.6743594356798164,31.631279153773786,5.924343433380127,0.12777184325569704,0.001540597554937891,0.05829036534476399,0.1015774351107213
19,5.722992197678935,1.6743034271157533,31.639762769608616,6.087699508666992,0.1353334557191215,0.0015934309762747642,0.05910723838816132,0.07804352547530716
20,6.034158108723826,1.6745142994804283,31.635170433054224,6.041408042907715,0.010204990976894578,0.0009185809463487101,0.05166616989631118,0.12750396461257438
