nu,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
2.1,-18.565299009535934,1.221954196145095e-17,-3.389544351450383
3.0,-17.623852190786643,4.907027376808709e-17,-3.217660465010228
4.0,-19.28662909321134,4.383274745899653e-18,-3.5212406041957522
10.0,-12.506630193507482,3.296187767884909e-13,-2.2833878251197492
50.0,-10.800757478937808,1.1175890839707797e-11,-1.9719395031189555
