nu,sampler,wasserstein_distance,r_hat,ess,runtime
1,HMC,4.232460133771214,1.0271893469976292,988.705320132558,50.723315477371216
2,HMC,0.13714778426833069,1.0155459541177563,936.2330451441222,29.814441204071045
5,HMC,0.060393516570995565,1.0448543316930463,395.1464955763709,27.28832507133484
10,HMC,0.13760065571298902,1.1138805814262256,126.35576065900207,24.631969690322876
