mm,mean_rmse_t_stat,mean_rmse_p_value,mean_rmse_paired_cohens_d
0,-3.3392458880131377,0.004866998219601977,-0.8621895808777652
4,-3.429500291313857,0.004067109497289412,-0.8854931676048035
6,-0.6949287300287368,0.49847214410853014,-0.1794298265468245
8,-2.7286465429348294,0.016314513762201534,-0.7045335078982023
10,-0.8274956477972963,0.4218378154465484,-0.2136584575318698
12,-0.8433325639078526,0.4132198851000659,-0.21774753168863434
