mm,ws_t_stat,ws_p_value,ws_paired_cohens_d
0,0.41392749994709727,0.685198651069352,0.1068756209221586
4,0.11451460324659424,0.9104560033760632,0.029567543418107283
6,-0.32040549500471277,0.7533931951368995,-0.08272834307910641
8,-2.519823641733915,0.024509046774616856,-0.6506156666543451
10,0.17239552251519288,0.8655939537997573,0.04451233251080452
12,-0.21716594819218038,0.8312119947361731,-0.05607200671411049
