nu,mmd_rff_t_stat,mmd_rff_p_value,mmd_rff_paired_cohens_d
2.1,-26.046660013710408,2.919281051890271e-13,-6.725218697161804
2.5,-34.417775590125494,6.245642457231928e-15,-8.886631444937345
3.0,-26.676578186775973,2.1021983235041516e-13,-6.887862870078893
4.0,-13.464961940106653,2.1042836463385678e-09,-3.4766382234233184
10.0,-12.97305084215768,3.416916758628497e-09,-3.3496273240785865
50.0,-11.763465236857074,1.207156353421582e-08,-3.0373136637358225
