mm,mmd_rff_t_stat,mmd_rff_p_value,mmd_rff_paired_cohens_d
5,60.58830219794864,2.3973519494688803e-18,15.643832359175821
8,71.19253172327957,2.523944151614305e-19,18.381832649240334
10,84.23761140428303,2.4061431375241597e-20,21.750057739538676
12,60.49261483933577,2.450797714616336e-18,15.619125989419139
15,80.75695274981146,4.339033513122314e-20,20.85135553936527
18,54.446642004293146,1.0641425995746966e-17,14.058062515969638
