mu,global_avg_wasserstein_distance,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
5,0.06284864922754929,1.007230757256333,2596.4801712003414,7.210531644821167,0.028856604216064268,0.0015821048659952334,174.4047982875401,0.3251643954385928
6,0.08062810753891256,1.0118489878692107,1760.8196219212584,7.079261598587036,0.04247951078601689,0.002970360044076576,188.35326535667386,0.24987812576771257
7,0.11019373638831981,1.01959566261021,1098.2871352995244,7.1384193277359005,0.06979166272593043,0.0045564635097317665,149.1415945498676,0.297871487711402
8,0.1673923454627051,1.034165270699497,639.448613642159,7.045645475387573,0.11487015731674281,0.007865565545323788,140.86270667864642,0.26652729233844613
9,0.24042042289155618,1.058017695982165,341.19550653041443,7.102740235328675,0.16312786334440196,0.010419510752872306,86.73136571899006,0.3132411388513398
10,0.3504085517820566,1.103302524543877,159.1282389535722,7.109990577697754,0.24795038124622507,0.018244720632426843,37.28230682592724,0.24810633632626988
11,0.4401461826600229,1.169312063264899,93.51113321520462,7.051867604255676,0.34787619275237186,0.035242029349616524,21.24256738171172,0.2812997937464208
12,0.6897350201581989,1.2608669416573368,61.558412069121225,7.120203695297241,0.43491177427962385,0.04072533449691127,9.052226637024402,0.26475350144762405
13,0.7490544259726574,1.3829214209421639,44.867659107435614,7.060830130577087,0.6856475869714809,0.0492143133158866,4.342891056852622,0.24699022327575093
14,1.030972942037088,1.4751863993908378,39.108692836162774,7.1272427320480345,0.7621217065702595,0.05137640834458076,2.7942936214974448,0.2764238676961023
15,1.4113637015328897,1.5528576966904613,35.517511930113926,7.051708297729492,0.9558122936362531,0.05963766514545695,2.136951378374111,0.19610599477378
16,1.4131363310087448,1.603649029667202,33.82618542664642,7.0953935575485225,1.0815550495965676,0.055965068562039755,1.847802322926526,0.3640616895250388
17,1.5449247089266394,1.6274846799335012,33.18330994257042,7.177278184890747,1.1475381055662708,0.054363178439839566,1.6291639953135557,0.7551732347378841
18,1.982717073865805,1.6262097827697184,33.39108183476644,7.1055912685394285,1.3394509183328276,0.07114594087829623,2.859410600730872,0.5395877707680594
19,1.5215053106031886,1.646647977562265,32.68023398219867,7.174420490264892,1.3421288962069704,0.052573948315044694,1.5252640057277747,1.0596763173642427
20,1.6531754579906845,1.6461663931156811,32.706612182704205,7.055332155227661,1.477908137108084,0.05581952517152573,1.6127466978391323,0.23293595598884106
