Row,Best Sampler,Best Value
Corr ↔ MM,SMC,0.037975064374207904
Corr ↔ Tail,SMC,0.08492345774002179
Dim ↔ Corr,SMC,0.02489653751076096
Dim ↔ MM,SMC,0.03834696235878283
Dim ↔ Tail,HMC,0.13250494582440647
Tail ↔ MM,SMC,0.26460093237807025
