nu,ws_t_stat,ws_p_value,ws_paired_cohens_d
2.1,-229.215206760611,3.6221370515432293e-34,-51.25407837933955
3.0,-214.09182928752978,1.3242819272435697e-33,-47.872388371419696
4.0,-169.73230010252365,1.0886660070961866e-31,-37.95329610066374
10.0,-110.03116990175232,4.074272776385768e-28,-24.603717554414704
50.0,-102.12253289974528,1.6770599550207594e-27,-22.835292559828915
